name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,auc,0.9895643679368754,401.16,0.0227
2_Default_Xgboost,Xgboost,auc,0.9883647586014931,126.8,0.0257
3_Default_CatBoost,CatBoost,auc,0.9890402354006974,165.64,0.024
4_Default_NeuralNetwork,Neural Network,auc,0.8950846048026505,63.28,0.0223
5_Default_RandomForest,Random Forest,auc,0.9272821292225304,79.04,0.0928
10_LightGBM,LightGBM,auc,0.9891372390010282,175.32,0.0247
6_Xgboost,Xgboost,auc,0.9890660299720941,114.14,0.0223
14_CatBoost,CatBoost,auc,0.9887732751966843,92.19,0.0239
18_RandomForest,Random Forest,auc,0.9374046592401204,58.62,0.0751
22_NeuralNetwork,Neural Network,auc,0.8997478269580896,71.76,0.0208
11_LightGBM,LightGBM,auc,0.989050186777395,204.56,0.0228
7_Xgboost,Xgboost,auc,0.9887000913538624,180.18,0.0233
15_CatBoost,CatBoost,auc,0.9890702041774527,142.04,0.0236
19_RandomForest,Random Forest,auc,0.9171519636444427,45.42,0.0491
23_NeuralNetwork,Neural Network,auc,0.8525415820105557,54.75,0.0208
12_LightGBM,LightGBM,auc,0.9898878179453375,268.82,0.0236
8_Xgboost,Xgboost,auc,0.9881643457214908,522.17,0.0274
24_LightGBM,LightGBM,auc,0.9898295067045988,146.73,0.0215
25_LightGBM,LightGBM,auc,0.9893882001589114,207.25,0.0226
26_CatBoost,CatBoost,auc,0.9890553664409423,145.17,0.0229
27_LightGBM,LightGBM,auc,0.9894999208191241,94.1,0.0209
28_CatBoost,CatBoost,auc,0.9891696469763661,258.2,0.0247
